author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Metalshaper,/gp/profile/amzn1.account.AHPGLWXPBY6BHNRG2HABEC6JBYUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2017",2,1,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"Idea, construction, and display is all great. Execution is not the smoothest. The dark blue is so dark you can’t read what has been etched in. Not really usable.",Not quite right.,Style: RainbowVerified Purchase,92 people found this helpful
MamaBear03,/gp/profile/amzn1.account.AGF4YA3YZAX42LOCOOYGN5TV3R7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2016",4,8,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"These are so fun to have around! They scratch off perfectly and not like others that you struggle with just to see any line of color. I'm looking forward to encourage the kids to write fun notes/pictures for each other, friends, and family. Perfect for birthday cards. I love them and am looking forward to add fun notes in the kids lunch box and backpack :)My only complain is that I wish it came with a couple more sticks. Four sticks would have been perfect!",Great buy!,Style: RainbowVerified Purchase,129 people found this helpful
AR,/gp/profile/amzn1.account.AFSXTP7R5SBG5W7OB3R6HBETNG4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 29, 2018",0,1,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"The 'rainbow' note cards arrived with only green and a tiny edge area of yellow.  ONE card did have the rainbow effect- which may have been the first/top card in the deck.  omg.  Regardless, the 7-year old enjoyed using the cards, but the topic of conversation throughout playtime was ""Only green AGAIN!"".  $7+ is too expensive for non-rainbow note cards.  PS  Don't use these cards in a car-- too much black 'crumbs' to clean up.  Suggest putting a paper towel under cards when using/scratching off the black coating, for easier clean-up.","Great, if you like green non-rainbow note cards...",Style: RainbowVerified Purchase,60 people found this helpful
Keri Ronk,/gp/profile/amzn1.account.AE6WDXFFMZALRTQQJ7ROEMM5PQHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2017",1,2,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,The range of background color on these scratch art notes is lacking. All of the notes in my pack have the same background. Variety would have been nice! Especially since the main part of the page is mostly green and blue. I would not purchase these again. I will be contacting Melissa and Doug about this poor quality issue. I expect more from Melissa and Doug products.,Poor range of color,Style: RainbowVerified Purchase,143 people found this helpful
Maumauklan,/gp/profile/amzn1.account.AFFVR7OGOULQHPTVFAN4C27AJYGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 18, 2016",0,0,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"These are a lot of fun.  They have entertained my 5 children and husband and I.  BUT, the box we received was mainly blues, with yellows in the very corners only.  I would have liked to have more colors as shown in the advertised picture.  But, nonetheless these have provided a lot of fun and creativity.  If the colors were as advertised, this would definitely be a five star product.","Fun, but colors not as advertised",Style: RainbowVerified Purchase,69 people found this helpful
Gracegast,/gp/profile/amzn1.account.AGV5MLMKXO45OIT55XPUDWUNA2EQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 22, 2016",0,2,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Due size I recommend to use a toothpick to draw instead of the stick provided in the set.Nice quality. It just peel off the part you remove, i mean, if you draw a line you will get a neat line. Other brands peel off more then your drawings .The size es very small. Just like post-it notes. But the small box have many mini notes so you shoul have a lot of fun!*We use them to make Christmas cards by glueing 2 together on speciality paper.....SUCCESS!!*We use them as gift tags.....SUCCESS!!Great as non-messy craft for kids while waiting at doctor's office, or waiting for dinner or any time.Store some in your car for road trips",Small. just like post-it notes,Style: RainbowVerified Purchase,45 people found this helpful
Mark,/gp/profile/amzn1.account.AFANROHIH7NPAHUDYOJVFFU4Y7FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2016",0,0,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"What it should tell you in the description is these are mostly blue. It includes a thin line of green and a thin line of yellow. 95% of color is blue. I've randomally scratched over 20 from throughout the pad with the same results. Yes, that means I've wasted 17 of them to make sure the colors were not as advertised.",Scratch 1 color,Style: RainbowVerified Purchase,42 people found this helpful
kitty,/gp/profile/amzn1.account.AHCDNT4NPQR34CDJ3ZVWLKB7FCHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 8, 2016",1,3,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"These are the most fun things ever. I've gotten my niece and nephew a variety of the scratch art projects, but when I found these I knew I could stock up and let them create their own art and patterns. The trouble now is getting them to pace themselves through the pack! My sister is an artist and also took a stab, creating gorgeous, post-it sized artworks for the fridge.  I will get these for anyone who has kids between 5-15 from now on.",The BEST,Style: RainbowVerified Purchase,41 people found this helpful
CC✨👩🏻‍🍳✨,/gp/profile/amzn1.account.AFIX5QDBBNJZCLQQAHTMNIEN7NFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2019",2,1,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,Love the presentation.  Makes a great gift.Problem is that the darker colors - purple specifically - are barely visible on the black scratch sheets.Makes it hard to see or read whatever you’re drawing or writing. You end up ditching the dark ones and re-doing then on another sheet hoping you get the rainbow. Many other reviews echo this.My pics show Melissa and Doug’s sheet with the hearts (the purple in the middle being more visible on my photo than in real life where it’s super dull and barely visible) next to purple ladybug novelty’s larger scratch art sheet. See how vibrant purple ladybug is next to Melissa and Doug. Totally prefer the other brand.I did get this on a half off sale so it was worth it - but no way would I pay regular price when a third to have the sheets don’t do what they should.,Great item but poorly executed on maybe half the sheets,Style: RainbowVerified Purchase,4 people found this helpful
Michael J Mc Dermott,/gp/profile/amzn1.account.AHKN5KJ6I67G462ZXEWCVX4URIUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 8, 2018",1,2,https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Let's call this what it really is, scratch art post-its minus the sticky side... Picture of this product makes it look way bigger than it is. Guess I should have done more reading into this since I was trying to be the nice gift giver and get a present that wasn't annoyingly loud or obnoxious for my 4 year old niece and now they will find tiny waxy scraps of paper all over the house. Oops!",What is this!? Scratch art for ants?,Style: RainbowVerified Purchase,10 people found this helpful
